country,year,gdp_per_capita,life_expectancy,infant_mortality,health_spending,smoking_rate,birth_rate
ABW,1990,12187.5363611898,72.546,,,,18.167
ABW,1991,13233.9905169683,72.592,,,,17.545
ABW,1992,13892.6051427736,72.717,,,,18.723
ABW,1993,14700.9598081521,72.777,,,,18.145
ABW,1994,16055.2877874337,72.796,,,,16.947
ABW,1995,16548.7173868987,72.832,,,,17.781
ABW,1996,16620.9545555513,72.856,,,,17.49
ABW,1997,17750.0095644198,72.904,,,,16.883
ABW,1998,18828.0870594071,72.94,,,,14.867
ABW,1999,19216.1972354472,72.857,,,,13.953
ABW,2000,20681.0230269625,72.939,,,,14.26
ABW,2001,20740.1325828172,73.044,,,,13.813
ABW,2002,21307.2482505267,73.135,,,,13.337
ABW,2003,21949.4859960868,73.236,,,,13.358
ABW,2004,23700.6319899197,73.223,,,,12.54
ABW,2005,24171.8371325422,73.415,,,,12.936
ABW,2006,24845.65848362,73.498,,,,13.681
ABW,2007,26736.3089444046,73.642,,,,13.38
ABW,2008,28171.9094008501,73.783,,,,13.07
ABW,2009,25134.7712303589,73.974,,,,12.332
ABW,2010,24093.1401510626,74.297,,,,11.941
ABW,2011,25712.3843015186,74.578,,,,12.175
ABW,2012,25119.6655449838,74.841,,,,12.592
ABW,2013,25813.5767274227,75.072,,,,12.548
ABW,2014,26129.8390617693,75.261,,,,12.864
ABW,2015,27458.2253310273,75.405,,,,11.556
ABW,2016,27441.5296617282,75.54,,,,11.625
ABW,2017,28440.051963759,75.62,,,,11.477
ABW,2018,30082.1276448186,75.88,,,,10.807
ABW,2019,31096.2050738676,76.019,,,,10.842
ABW,2020,22855.9323200761,75.406,,,,9.688
ABW,2021,27200.0610793969,73.655,,,,9.461
ABW,2022,30559.5335346581,76.226,,,,8.527
ABW,2023,33984.7906198041,76.353,,,,7.973
AFE,1990,822.79386754523,51.0963264543047,100.891848443124,,,43.9811794731988
AFE,1991,864.563865250914,50.8732436063946,103.979742123847,,,43.6743014545013
AFE,1992,733.243855634055,50.7159460478921,103.359095079909,,,43.2857210179507
AFE,1993,709.659254937363,51.0737619133776,98.5024946856404,,,42.9826722285698
AFE,1994,701.041551520198,50.9665887956465,99.2462403902775,,,42.4236340641434
AFE,1995,766.820590836759,51.4820566813357,95.7524125736609,,,42.6384391885252
AFE,1996,747.069673916573,51.3531898360738,94.2505826472937,,,42.3683813665071
AFE,1997,767.684192170293,51.5708865171429,92.606935368313,,,41.9516000432934
AFE,1998,697.352671611013,51.3179554721368,92.2812231146882,,,41.5510360406576
AFE,1999,670.697829187975,51.8070772449868,87.9441531905424,,,41.3742627385695
AFE,2000,707.120377674078,52.5573418626777,85.202739159748,42.6864155481713,21.7579740108658,41.0069580245934
