country,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFE,,,,,,,,,,,21.7579740108658,,,,,18.5969761141652,,17.5388972270479,,,16.113996353133,,,,,14.0961597128605,,,,,12.4448953421007,12.1608327586397,11.8819514401161,
AFG,,,,,,,,,,,39.2,,,,,34.2,,32.5,,,30.2,,,,,26.6,,,,,23.7,23.2,22.7,
AFW,,,,,,,,,,,13.7782731243322,,,,,11.068666961924,,10.131047609148,,,8.94775892585108,,,,,7.35862709966676,,,,,6.10938005554531,5.88922037554223,5.73415427820482,
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,,,,,,,,,,,35.4,,,,,31.6,,30.2,,,28.3,,,,,25.4,,,,,22.9,22.4,21.9,
AND,,,,,,,,,,,36.0,,,,,35.8,,35.7,,,35.7,,,,,35.8,,,,,36.0,36.1,36.3,
ARB,,,,,,,,,,,21.7203916443583,,,,,21.0723750529259,,20.9074498462177,,,20.5841768650309,,,,,20.2975065576079,,,,,20.3020447977178,20.3926237156063,20.3320672779024,
ARE,,,,,,,,,,,19.1,,,,,15.9,,14.8,,,13.3,,,,,11.2,,,,,9.6,9.3,9.0,
ARG,,,,,,,,,,,34.3,,,,,31.5,,30.5,,,29.0,,,,,26.6,,,,,24.6,24.2,23.8,
ARM,,,,,,,,,,,32.6,,,,,30.8,,30.0,,,28.8,,,,,27.2,,,,,25.8,25.3,24.9,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,,,,,,,,,,24.5,,,,,21.2,,20.0,,,18.4,,,,,15.9,,,,,13.7,13.4,13.1,
AUT,,,,,,,,,,,52.5,,,,,44.4,,41.3,,,37.2,,,,,31.5,,,,,26.6,25.7,24.9,
AZE,,,,,,,,,,,28.8,,,,,26.1,,25.2,,,24.0,,,,,22.0,,,,,20.2,19.9,19.6,
BDI,,,,,,,,,,,26.3,,,,,21.1,,19.5,,,17.3,,,,,14.3,,,,,12.0,11.6,11.2,
BEL,,,,,,,,,,,30.9,,,,,29.9,,29.4,,,29.0,,,,,28.0,,,,,27.2,27.0,26.7,
BEN,,,,,,,,,,,17.6,,,,,13.8,,12.6,,,10.9,,,,,8.6,,,,,6.9,6.6,6.3,
BFA,,,,,,,,,,,30.7,,,,,25.2,,23.4,,,20.9,,,,,17.6,,,,,15.1,14.7,14.3,
BGD,,,,,,,,,,,58.1,,,,,50.7,,48.0,,,44.2,,,,,38.9,,,,,34.4,33.8,32.9,
BGR,,,,,,,,,,,47.4,,,,,44.9,,44.2,,,43.0,,,,,41.4,,,,,40.0,39.8,39.5,
BHR,,,,,,,,,,,22.0,,,,,20.0,,19.4,,,18.3,,,,,16.8,,,,,15.4,15.2,15.0,
BHS,,,,,,,,,,,12.1,,,,,11.7,,11.6,,,11.5,,,,,11.4,,,,,11.3,11.3,11.3,
BIH,,,,,,,,,,,47.0,,,,,43.7,,42.7,,,41.1,,,,,38.8,,,,,36.8,36.4,36.2,
BLR,,,,,,,,,,,42.8,,,,,39.5,,38.2,,,36.4,,,,,33.4,,,,,31.1,30.6,30.1,
BLZ,,,,,,,,,,,13.7,,,,,12.3,,11.8,,,11.0,,,,,10.0,,,,,9.1,8.9,8.8,
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,,,,,,,,,,,35.1,,,,,26.6,,23.9,,,20.7,,,,,16.4,,,,,13.4,12.8,12.4,
BRA,,,,,,,,,,,23.8,,,,,20.3,,19.0,,,17.4,,,,,14.9,,,,,12.9,12.5,12.2,
BRB,,,,,,,,,,,9.5,,,,,8.8,,8.5,,,8.1,,,,,7.6,,,,,7.1,7.0,7.0,
